full_name,url,stars,forks,open_issues,contributors,commits,releases,has_ci,readme_length,n_topics,has_license,language,age_days,days_since_push,commits_per_contributor,has_readme,age_years,activity
pydantic/pydantic,https://github.com/pydantic/pydantic,27871,2651,568,459,5521,199,1,3451,11,1,Python,3312,0,12.0,1,9.1,active
plotly/dash,https://github.com/plotly/dash,24220,2285,547,182,9696,105,1,6478,18,1,Python,4067,0,53.3,1,11.1,active
keras-team/keras,https://github.com/keras-team/keras,64069,19747,174,406,12434,89,1,5354,8,1,Python,4080,0,30.6,1,11.2,active
langchain-ai/langchain,https://github.com/langchain-ai/langchain,137981,22849,597,469,16065,1259,1,6046,20,1,Python,1320,0,34.3,1,3.6,active
modelcontextprotocol/python-sdk,https://github.com/modelcontextprotocol/python-sdk,23172,3481,506,182,859,56,1,88162,0,1,Python,611,0,4.7,1,1.7,active
BerriAI/litellm,https://github.com/BerriAI/litellm,48696,8470,3555,385,39436,1336,1,28050,14,1,Python,1037,0,102.4,1,2.8,active
ansible/ansible,https://github.com/ansible/ansible,68714,24148,800,373,55456,232,0,6060,2,1,Python,5197,0,148.7,1,14.2,active
soxoj/maigret,https://github.com/soxoj/maigret,30920,2213,44,52,1354,25,1,15005,20,1,Python,2162,0,26.0,1,5.9,active
zulip/zulip,https://github.com/zulip/zulip,25290,9850,2037,402,70878,126,1,4867,12,1,Python,3899,0,176.3,1,10.7,active
Genesis-Embodied-AI/genesis-world,https://github.com/Genesis-Embodied-AI/genesis-world,29066,2746,123,86,1437,25,1,23535,0,1,Python,941,0,16.7,1,2.6,active
pandas-dev/pandas,https://github.com/pandas-dev/pandas,48871,19961,3225,414,38058,120,1,11344,6,1,Python,5757,0,91.9,1,15.8,active
mlflow/mlflow,https://github.com/mlflow/mlflow,26187,5793,2071,447,12349,169,1,32289,18,1,Python,2915,0,27.6,1,8.0,active
anthropics/financial-services,https://github.com/anthropics/financial-services,28655,4024,151,10,60,0,1,16294,0,1,Python,94,0,6.0,1,0.3,active
numpy/numpy,https://github.com/numpy/numpy,32109,12399,2385,437,41246,143,1,4226,2,1,Python,5736,0,94.4,1,15.7,active
github/spec-kit,https://github.com/github/spec-kit,106994,9468,431,202,1034,153,1,31752,7,1,Python,280,0,5.1,1,0.8,active
openai/skills,https://github.com/openai/skills,20820,1392,255,34,111,0,0,1478,0,0,Python,185,0,3.3,1,0.5,active
Skyvern-AI/skyvern,https://github.com/Skyvern-AI/skyvern,21774,2026,164,85,4988,140,1,24848,16,1,Python,821,0,58.7,1,2.2,active
kovidgoyal/calibre,https://github.com/kovidgoyal/calibre,24937,2609,7,371,53537,348,1,1938,10,1,Python,4749,0,144.3,1,13.0,active
safishamsi/graphify,https://github.com/safishamsi/graphify,56055,5890,277,59,584,120,1,31398,11,1,Python,56,0,9.9,1,0.2,active
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,66202,27041,2036,408,33698,49,1,7520,5,1,Python,5764,0,82.6,1,15.8,active
bytedance/deer-flow,https://github.com/bytedance/deer-flow,69954,9449,927,256,2185,0,1,40120,18,1,Python,387,0,8.5,1,1.1,active
python/cpython,https://github.com/python/cpython,72899,34684,9326,352,131576,0,1,8906,0,1,Python,3394,0,373.8,1,9.3,active
django/django,https://github.com/django/django,87584,33955,445,393,34639,0,1,2017,9,1,Python,5144,0,88.1,1,14.1,active
openai/openai-python,https://github.com/openai/openai-python,30840,4813,556,149,1379,382,1,29480,2,1,Python,2041,0,9.3,1,5.6,active
docling-project/docling,https://github.com/docling-project/docling,60594,4221,912,225,1061,175,1,8048,15,1,Python,689,0,4.7,1,1.9,active
run-llama/llama_index,https://github.com/run-llama/llama_index,49759,7478,395,474,7819,431,1,13325,10,1,Python,1304,0,16.5,1,3.6,active
huggingface/peft,https://github.com/huggingface/peft,21203,2311,49,294,1711,32,1,12208,10,1,Python,1281,0,5.8,1,3.5,active
huggingface/lerobot,https://github.com/huggingface/lerobot,24491,4671,742,213,1473,9,1,10011,0,1,Python,854,0,6.9,1,2.3,active
serengil/deepface,https://github.com/serengil/deepface,22841,3103,10,87,2123,20,1,25279,17,1,Python,2301,0,24.4,1,6.3,active
tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,32865,4147,161,451,13457,15,1,9376,0,1,Python,2049,0,29.8,1,5.6,active
Dao-AILab/flash-attention,https://github.com/Dao-AILab/flash-attention,23980,2778,1189,180,1497,105,1,24455,0,1,Python,1470,0,8.3,1,4.0,active
mvanhorn/last30days-skill,https://github.com/mvanhorn/last30days-skill,26779,2290,77,42,618,14,1,24484,20,1,Python,125,0,14.7,1,0.3,active
infiniflow/ragflow,https://github.com/infiniflow/ragflow,81518,9353,3168,463,6462,47,1,16756,10,1,Python,899,0,14.0,1,2.5,active
tensorflow/models,https://github.com/tensorflow/models,77662,45062,1289,359,9740,51,1,4923,0,1,Python,3766,0,27.1,1,10.3,active
python-telegram-bot/python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,29186,6061,32,191,3172,132,1,14189,5,1,Python,3979,0,16.6,1,10.9,active
NanmiCoder/MediaCrawler,https://github.com/NanmiCoder/MediaCrawler,50411,10625,163,67,770,0,1,9254,0,1,Python,1085,0,11.5,1,3.0,active
netbox-community/netbox,https://github.com/netbox-community/netbox,20719,3026,228,350,15311,361,1,8870,11,1,Python,3742,0,43.7,1,10.3,active
dgtlmoon/changedetection.io,https://github.com/dgtlmoon/changedetection.io,31762,1812,345,133,2375,215,1,22034,20,1,Python,1948,0,17.9,1,5.3,active
AstrBotDevs/AstrBot,https://github.com/AstrBotDevs/AstrBot,33399,2293,1187,278,4722,220,1,14453,16,1,Python,1268,0,17.0,1,3.5,active
