full_name,url,stars,forks,open_issues,contributors,commits,releases,has_ci,readme_length,n_topics,has_license,language,age_days,days_since_push,commits_per_contributor,has_readme,age_years,activity
maxim-saplin/llm_chess,https://github.com/maxim-saplin/llm_chess,102,10,1,6,1376,0,0,9047,0,1,Python,608,0,229.3,1,1.7,active
LobsterTrap/lola,https://github.com/LobsterTrap/lola,91,21,54,16,286,5,1,13350,0,1,Python,224,0,17.9,1,0.6,active
daedalus/ImpactGuard,https://github.com/daedalus/ImpactGuard,116,0,0,2,276,11,1,44535,17,1,Python,27,0,138.0,1,0.1,active
broadinstitute/viral-ngs,https://github.com/broadinstitute/viral-ngs,196,67,2,16,9683,106,1,5922,15,1,Python,4263,0,605.2,1,11.7,active
larsiusprime/openavmkit,https://github.com/larsiusprime/openavmkit,72,20,34,8,752,14,1,3607,0,1,Python,539,0,94.0,1,1.5,active
The412Banner/Banners-Turnip,https://github.com/The412Banner/Banners-Turnip,96,7,0,5,1349,227,1,12304,0,1,Python,97,0,269.8,1,0.3,active
datadog-labs/agent-skills,https://github.com/datadog-labs/agent-skills,125,11,4,14,68,0,0,13892,0,1,Python,115,0,4.9,1,0.3,active
UiPath/skills,https://github.com/UiPath/skills,94,27,182,83,863,0,1,8264,0,1,Python,127,0,10.4,1,0.3,active
tenstorrent/tt-inference-server,https://github.com/tenstorrent/tt-inference-server,55,23,657,64,1912,21,1,2966,0,1,Python,674,0,29.9,1,1.8,active
OrnitheMC/feather,https://github.com/OrnitheMC/feather,64,33,7,131,4029,0,1,5661,1,1,Python,1641,0,30.8,1,4.5,active
ansys/pydpf-post,https://github.com/ansys/pydpf-post,57,12,51,27,623,21,1,3995,0,1,Python,2017,0,23.1,1,5.5,active
Runware/ComfyUI-Runware,https://github.com/Runware/ComfyUI-Runware,139,20,3,2,461,66,0,7427,0,1,Python,562,0,230.5,1,1.5,active
amirmushichge/tribeV2_ViralAnalyser,https://github.com/amirmushichge/tribeV2_ViralAnalyser,178,43,4,1,28,4,1,8647,0,0,Python,28,0,28.0,1,0.1,active
tom-doerr/repo_posts,https://github.com/tom-doerr/repo_posts,275,29,2,1,45344,0,1,4063,0,1,Python,466,0,45344.0,1,1.3,active
REIJI007/Adblock-Rule-Collection,https://github.com/REIJI007/Adblock-Rule-Collection,103,8,0,2,426,1,1,4082,16,1,Python,661,0,213.0,1,1.8,active
gambiarras/legal-iptv,https://github.com/gambiarras/legal-iptv,76,5,0,2,17634,0,0,0,0,0,Python,1254,0,8817.0,0,3.4,active
shiyu-coder/Kronos-demo,https://github.com/shiyu-coder/Kronos-demo,111,52,8,1,7714,0,0,0,0,0,Python,322,0,7714.0,0,0.9,active
cognizant-ai-lab/neuro-san,https://github.com/cognizant-ai-lab/neuro-san,113,38,102,20,4913,163,1,12210,14,1,Python,559,0,245.6,1,1.5,active
doms9/iptv,https://github.com/doms9/iptv,161,41,0,2,5918,0,1,2328,5,1,Python,371,0,2959.0,1,1.0,active
hgbrian/biomodals,https://github.com/hgbrian/biomodals,158,22,0,3,194,0,0,11744,0,1,Python,914,0,64.7,1,2.5,active
watchttvv/free-proxy-list,https://github.com/watchttvv/free-proxy-list,136,38,4,2,18326,0,1,637,0,0,Python,251,0,9163.0,1,0.7,active
Crypt0nly/plutus,https://github.com/Crypt0nly/plutus,65,3,2,4,877,266,1,14193,0,1,Python,97,0,219.2,1,0.3,active
vercel-labs/ai-python,https://github.com/vercel-labs/ai-python,67,7,4,5,364,0,1,4396,0,1,Python,133,0,72.8,1,0.4,active
scipy/scipy-stubs,https://github.com/scipy/scipy-stubs,90,36,27,31,4453,39,1,30279,4,1,Python,645,0,143.6,1,1.8,active
dancinlab/anima,https://github.com/dancinlab/anima,156,50,0,3,6812,3,1,22643,13,1,Python,66,0,2270.7,1,0.2,active
nicolerenee/infra,https://github.com/nicolerenee/infra,108,7,16,4,3236,0,1,8077,7,0,Python,2860,0,809.0,1,7.8,active
NVIDIAGameWorks/toolkit-remix,https://github.com/NVIDIAGameWorks/toolkit-remix,56,28,0,22,940,0,1,2055,0,1,Python,696,0,42.7,1,1.9,active
rezer-bleede/dbt-Workbench,https://github.com/rezer-bleede/dbt-Workbench,59,11,0,4,260,0,1,6725,0,1,Python,169,0,65.0,1,0.5,active
paragon-intelligence/agentle,https://github.com/paragon-intelligence/agentle,53,13,0,2,1411,286,1,85647,3,1,Python,399,0,705.5,1,1.1,active
TarasKhust/ecoflow-api-mqtt,https://github.com/TarasKhust/ecoflow-api-mqtt,58,6,7,4,244,108,0,17152,8,1,Python,171,0,61.0,1,0.5,active
HJSang/CRISP_Reasoning_Compression,https://github.com/HJSang/CRISP_Reasoning_Compression,54,7,4,3,14,0,0,8724,0,0,Python,83,0,4.7,1,0.2,active
tryHivemind/Hivemind,https://github.com/tryHivemind/Hivemind,177,5,0,5,244,0,0,10366,0,1,Python,23,0,48.8,1,0.1,active
tyql688/NTEUID,https://github.com/tyql688/NTEUID,59,4,2,2,100,0,0,1284,3,1,Python,38,0,50.0,1,0.1,active
TencentBlueKing/bamboo-engine,https://github.com/TencentBlueKing/bamboo-engine,172,64,29,9,332,115,1,9150,5,1,Python,1725,0,36.9,1,4.7,active
meta-pytorch/MSLK,https://github.com/meta-pytorch/MSLK,107,48,79,34,281,0,1,3666,0,1,Python,206,0,8.3,1,0.6,active
RouteWorks/RouterArena,https://github.com/RouteWorks/RouterArena,81,23,12,15,110,0,1,13635,10,1,Python,235,0,7.3,1,0.6,active
aws-actions/vulnerability-scan-github-action-for-amazon-inspector,https://github.com/aws-actions/vulnerability-scan-github-action-for-amazon-inspector,57,14,6,7,270,13,1,27133,6,1,Python,870,0,38.6,1,2.4,active
spectrochempy/spectrochempy,https://github.com/spectrochempy/spectrochempy,173,33,9,6,2413,53,1,4034,16,1,Python,2207,0,402.2,1,6.0,active
basnijholt/agent-cli,https://github.com/basnijholt/agent-cli,202,19,41,6,865,182,1,148994,0,1,Python,338,0,144.2,1,0.9,active
aws-samples/amazon-transcribe-live-meeting-assistant,https://github.com/aws-samples/amazon-transcribe-live-meeting-assistant,151,51,40,18,1896,45,0,5971,8,1,Python,778,0,105.3,1,2.1,active
vitessce/vitessce-python,https://github.com/vitessce/vitessce-python,67,12,119,11,523,1,1,5929,8,1,Python,2095,0,47.5,1,5.7,active
taksssss/tv,https://github.com/taksssss/tv,79,45,1,2,5634,0,1,641,0,0,Python,632,0,2817.0,1,1.7,active
gitrecon1455/fresh-proxy-list,https://github.com/gitrecon1455/fresh-proxy-list,103,16,0,1,55437,0,1,219,20,1,Python,799,0,55437.0,1,2.2,active
andre-salvati/databricks-template,https://github.com/andre-salvati/databricks-template,68,31,0,1,86,0,1,16769,20,0,Python,888,0,86.0,1,2.4,active
UiPath/uipath-langchain-python,https://github.com/UiPath/uipath-langchain-python,70,34,81,54,900,3,1,4181,4,1,Python,417,0,16.7,1,1.1,active
nyeinkokoaung404/V2ray-Configs,https://github.com/nyeinkokoaung404/V2ray-Configs,178,10,1,3,38817,0,1,7725,0,1,Python,597,0,12939.0,1,1.6,active
brycewang-stanford/StatsPAI,https://github.com/brycewang-stanford/StatsPAI,211,37,0,3,641,24,1,107409,0,1,Python,307,0,213.7,1,0.8,active
lucivpav/cwg,https://github.com/lucivpav/cwg,92,36,32,3,99,0,0,1654,5,1,Python,3184,0,33.0,1,8.7,active
agentforce314/clawcodex,https://github.com/agentforce314/clawcodex,259,24,9,3,336,0,0,26308,14,1,Python,39,0,112.0,1,0.1,active
allaboutduncan/clu-comics,https://github.com/allaboutduncan/clu-comics,230,9,11,8,744,50,1,5947,6,1,Python,514,0,93.0,1,1.4,active
HELPMEEADICE/BANDORI-PET-REV,https://github.com/HELPMEEADICE/BANDORI-PET-REV,229,18,0,5,443,29,0,9573,0,1,Python,24,0,88.6,1,0.1,active
cyzus/suzent,https://github.com/cyzus/suzent,62,7,3,4,884,16,1,8081,0,1,Python,306,0,221.0,1,0.8,active
chickendrop89/OneShot-Extended,https://github.com/chickendrop89/OneShot-Extended,88,36,0,4,144,0,0,4677,13,1,Python,659,0,36.0,1,1.8,active
justoneapi/justoneapi-python,https://github.com/justoneapi/justoneapi-python,164,11,0,2,18047,30,1,52940,20,1,Python,322,0,9023.5,1,0.9,active
foXaCe/ajax-security-hass,https://github.com/foXaCe/ajax-security-hass,93,13,4,8,771,131,1,19048,5,1,Python,156,0,96.4,1,0.4,active
marrcandre/django-drf-tutorial,https://github.com/marrcandre/django-drf-tutorial,112,23,0,10,568,0,1,191747,0,0,Python,1437,0,56.8,1,3.9,active
benseverndev-oss/goldenmatch,https://github.com/benseverndev-oss/goldenmatch,53,9,8,4,1212,81,1,24075,20,1,Python,73,0,303.0,1,0.2,active
MicrosoftDocs/azure-docs-sdk-python,https://github.com/MicrosoftDocs/azure-docs-sdk-python,165,259,77,160,9777,0,0,599,1,1,Python,3292,0,61.1,1,9.0,active
datasets/finance-vix,https://github.com/datasets/finance-vix,96,37,0,7,685,0,1,2830,0,0,Python,4360,0,97.9,1,11.9,active
BuddyChewChew/buddylive,https://github.com/BuddyChewChew/buddylive,77,16,0,3,4991,0,1,4411,0,0,Python,322,0,1663.7,1,0.9,active
FrancoisRost1/mini-bloomberg-terminal,https://github.com/FrancoisRost1/mini-bloomberg-terminal,121,1,0,1,781,0,1,9735,7,0,Python,49,0,781.0,1,0.1,active
Klotzkette/claude-fuer-deutsches-recht,https://github.com/Klotzkette/claude-fuer-deutsches-recht,299,22,0,2,420,163,1,75215,9,1,Python,11,0,210.0,1,0.0,active
amirfish1/claude-command-center,https://github.com/amirfish1/claude-command-center,57,2,2,2,653,13,1,18544,10,1,Python,46,0,326.5,1,0.1,active
wonderNefelibata/Awesome-LRM-Safety,https://github.com/wonderNefelibata/Awesome-LRM-Safety,82,6,1,4,443,0,1,38496,0,0,Python,465,0,110.8,1,1.3,active
flipperdevices/flipperone-docs,https://github.com/flipperdevices/flipperone-docs,60,19,4,9,743,0,1,3645,0,0,Python,276,0,82.6,1,0.8,active
marimo-team/marimo-jupyter-extension,https://github.com/marimo-team/marimo-jupyter-extension,76,7,14,8,78,4,1,6496,8,1,Python,163,0,9.8,1,0.4,active
pyiron/executorlib,https://github.com/pyiron/executorlib,73,6,47,9,1920,46,1,12112,7,1,Python,1409,0,213.3,1,3.9,active
open-atmos/PySDM,https://github.com/open-atmos/PySDM,87,54,241,31,4038,193,1,14636,16,1,Python,2498,0,130.3,1,6.8,active
opencloudtouch/opencloudtouch,https://github.com/opencloudtouch/opencloudtouch,57,8,32,7,506,20,1,7701,20,1,Python,122,0,72.3,1,0.3,active
ShatakVPN/ConfigForge-V2Ray,https://github.com/ShatakVPN/ConfigForge-V2Ray,219,68,1,2,5541,2,1,7155,9,1,Python,292,0,2770.5,1,0.8,active
JoaoOMago/JoaoOMago,https://github.com/JoaoOMago/JoaoOMago,0,0,0,1,57426,0,1,1040,2,0,Python,795,0,57426.0,1,2.2,active
mrsalty/slowave,https://github.com/mrsalty/slowave,0,0,1,2,76,9,1,13681,0,1,Python,3,0,38.0,1,0.0,active
Anmol-Shukla-20/AI-Agent-Travel-Planner,https://github.com/Anmol-Shukla-20/AI-Agent-Travel-Planner,0,0,0,1,12,0,0,0,0,0,Python,3,0,12.0,0,0.0,active
AndersNBE/kereby-scraper,https://github.com/AndersNBE/kereby-scraper,0,0,0,3,385430,0,1,0,0,0,Python,149,0,128476.7,0,0.4,active
evolutis-ai/evolutis,https://github.com/evolutis-ai/evolutis,1,0,0,2,28274,0,0,3152,0,0,Python,120,0,14137.0,1,0.3,active
jtorreslopz/Animal_Classification,https://github.com/jtorreslopz/Animal_Classification,0,0,0,1,15,0,0,4923,0,0,Python,2,0,15.0,1,0.0,active
ShubhekshyaGautam/seventh-project,https://github.com/ShubhekshyaGautam/seventh-project,0,0,0,3,72,0,0,51,0,0,Python,110,0,24.0,1,0.3,active
Charlestangwei/douyin-recorder,https://github.com/Charlestangwei/douyin-recorder,0,0,0,2,8392,233,1,66,0,0,Python,1,0,4196.0,1,0.0,active
poom/hermes-tools,https://github.com/poom/hermes-tools,0,0,0,1,3,0,0,2671,0,0,Python,0,0,3.0,1,0.0,active
cyber001s/IPTV-Scraper,https://github.com/cyber001s/IPTV-Scraper,0,1,0,2,2104,0,1,0,0,1,Python,263,0,1052.0,0,0.7,active
statsheetgeeks/mlb-hr-predictor,https://github.com/statsheetgeeks/mlb-hr-predictor,0,0,0,2,70,0,1,3858,0,0,Python,48,0,35.0,1,0.1,active
Moiz-a11/Deep_Learning,https://github.com/Moiz-a11/Deep_Learning,0,0,0,1,3,0,0,0,0,0,Python,80,0,3.0,0,0.2,active
AEM001/Edge-Cloud-Speculative-Decoding,https://github.com/AEM001/Edge-Cloud-Speculative-Decoding,0,0,0,1,101,0,0,1954,0,0,Python,46,0,101.0,1,0.1,active
pedromf3/BD_project,https://github.com/pedromf3/BD_project,0,0,0,2,61,0,0,356,0,0,Python,36,0,30.5,1,0.1,active
prayan2702/Streamlit_Momn_v13_Cached_DB,https://github.com/prayan2702/Streamlit_Momn_v13_Cached_DB,0,0,0,2,501,0,1,7,0,0,Python,61,0,250.5,1,0.2,active
c9a2b8d4e4f1a9b6ce5d8a1f3c7b2/CBB,https://github.com/c9a2b8d4e4f1a9b6ce5d8a1f3c7b2/CBB,0,1,1,2,2321,0,1,42,0,0,Python,0,0,1160.5,1,0.0,active
Tachia/cdpr_simulator,https://github.com/Tachia/cdpr_simulator,0,0,1,1,18,0,1,8977,0,1,Python,2,0,18.0,1,0.0,active
Jayasanka-madhawa/IndoorNet-system,https://github.com/Jayasanka-madhawa/IndoorNet-system,0,0,0,1,10,0,0,700,0,0,Python,1,0,10.0,1,0.0,active
InverseBaryon/cli-tools,https://github.com/InverseBaryon/cli-tools,0,0,0,1,26,0,0,104,0,0,Python,0,0,26.0,1,0.0,active
noadamanjodi/noa-news,https://github.com/noadamanjodi/noa-news,0,0,0,2,2912,0,1,48,0,0,Python,171,0,1456.0,1,0.5,active
Rick110102/pm10_nowcasting_antm,https://github.com/Rick110102/pm10_nowcasting_antm,0,0,0,2,20961,0,1,22,0,0,Python,74,0,10480.5,1,0.2,active
nathancusick-arch/dunelm,https://github.com/nathancusick-arch/dunelm,0,0,0,1,35,0,1,0,0,0,Python,186,0,35.0,0,0.5,active
otaviof/pulp_trustify,https://github.com/otaviof/pulp_trustify,0,0,0,1,15,0,0,25925,0,0,Python,0,0,15.0,1,0.0,active
kolegadev/depositback-agent-social-content-creator,https://github.com/kolegadev/depositback-agent-social-content-creator,0,0,0,2,327,0,1,1201,0,0,Python,9,0,163.5,1,0.0,active
thedarkknightslg/oricon-rss-feed,https://github.com/thedarkknightslg/oricon-rss-feed,0,0,0,2,802,0,1,0,0,0,Python,106,0,401.0,0,0.3,active
nabilgr847/Doctor,https://github.com/nabilgr847/Doctor,0,0,0,1,10444,0,1,0,0,0,Python,20,0,10444.0,0,0.1,active
Akshay-1290/Python-learning,https://github.com/Akshay-1290/Python-learning,1,0,0,1,42,0,0,17,0,0,Python,15,0,42.0,1,0.0,active
SamuelGuaimaB/Ingenieros-Paralelos,https://github.com/SamuelGuaimaB/Ingenieros-Paralelos,1,1,0,2,52,0,0,9967,0,0,Python,24,0,26.0,1,0.1,active
ELISSABELAR/lotosoft,https://github.com/ELISSABELAR/lotosoft,0,0,0,2,134,0,1,357,0,0,Python,13,0,67.0,1,0.0,active
ph09/CAT2_smk,https://github.com/ph09/CAT2_smk,0,0,0,1,13,0,0,709,0,0,Python,1,0,13.0,1,0.0,active
Hzenius/auto-watcher,https://github.com/Hzenius/auto-watcher,0,0,0,2,18595,0,1,76,0,0,Python,24,0,9297.5,1,0.1,active
TomJoad81/sleep-tracker,https://github.com/TomJoad81/sleep-tracker,0,0,0,2,391,0,1,0,0,0,Python,15,0,195.5,0,0.0,active
pimerrider/binance-volume-scanner,https://github.com/pimerrider/binance-volume-scanner,0,0,0,1,15,0,0,49,0,0,Python,0,0,15.0,1,0.0,active
projects5069-creator/ridinghigh-pro,https://github.com/projects5069-creator/ridinghigh-pro,0,0,0,2,558,0,1,1495,0,0,Python,40,0,279.0,1,0.1,active
johnjhusband/OpenHarness,https://github.com/johnjhusband/OpenHarness,0,0,0,1,2291,0,0,2127,0,0,Python,1,0,2291.0,1,0.0,active
DreamCo-Technologies/Dreamcobots,https://github.com/DreamCo-Technologies/Dreamcobots,2,0,70,5,27764,0,1,2372,0,1,Python,342,0,5552.8,1,0.9,active
StefanMcLoughlin/fastapi-course-project,https://github.com/StefanMcLoughlin/fastapi-course-project,0,0,0,1,8,0,0,0,0,0,Python,0,0,8.0,0,0.0,active
Lolotun/bicycle-stabilization,https://github.com/Lolotun/bicycle-stabilization,0,0,0,1,3,0,0,4120,0,0,Python,0,0,3.0,1,0.0,active
Sirveme/electro,https://github.com/Sirveme/electro,0,0,0,1,188,0,0,9,0,0,Python,11,0,188.0,1,0.0,active
ohgnakrap9290/PGCHECK,https://github.com/ohgnakrap9290/PGCHECK,0,0,0,1,110,0,1,5928,0,0,Python,11,0,110.0,1,0.0,active
yieldchaser/Nat-Gas-ETFs,https://github.com/yieldchaser/Nat-Gas-ETFs,0,0,1,3,1164,0,1,46769,0,0,Python,74,0,388.0,1,0.2,active
batyrovbahrom96-svg/SAT1600.uz,https://github.com/batyrovbahrom96-svg/SAT1600.uz,0,0,0,2,219,0,0,9666,0,0,Python,12,0,109.5,1,0.0,active
Vesselovskiy/quezzle-telegram-bot,https://github.com/Vesselovskiy/quezzle-telegram-bot,0,0,0,2,1367,0,1,0,0,0,Python,361,0,683.5,0,1.0,active
yiyualt/developer,https://github.com/yiyualt/developer,0,0,0,1,17,0,0,12,0,0,Python,5,0,17.0,1,0.0,active
Marcos0526/LSM,https://github.com/Marcos0526/LSM,2,0,0,6,70,0,0,10509,0,1,Python,106,0,11.7,1,0.3,active
vatsal9117/neetcode-gpt,https://github.com/vatsal9117/neetcode-gpt,0,0,0,1,10,0,0,2031,0,0,Python,1,0,10.0,1,0.0,active
HTKhuongNinh-FPTU/LogisticsShippingRates,https://github.com/HTKhuongNinh-FPTU/LogisticsShippingRates,0,0,0,1,8,0,0,416,0,1,Python,0,0,8.0,1,0.0,active
drviniciusmariano/Projeto-Ponteiro,https://github.com/drviniciusmariano/Projeto-Ponteiro,0,0,0,1,15,0,0,344,0,0,Python,3,0,15.0,1,0.0,active
FuckFiat/polymarket-whale-tracker,https://github.com/FuckFiat/polymarket-whale-tracker,2,1,1,1,11336,0,0,2357,0,0,Python,30,0,11336.0,1,0.1,active
vaishnavkadhao/ai-performance-marketing-automation-lab,https://github.com/vaishnavkadhao/ai-performance-marketing-automation-lab,0,0,0,1,32,0,0,6827,0,1,Python,0,0,32.0,1,0.0,active
jianglei919/COMP8347,https://github.com/jianglei919/COMP8347,0,0,0,1,16,0,0,1281,0,0,Python,22,0,16.0,1,0.1,active
lacriwo/verba_feed,https://github.com/lacriwo/verba_feed,0,0,0,2,240,0,1,0,0,0,Python,44,0,120.0,0,0.1,active
mathews0x0/datalogger-v2,https://github.com/mathews0x0/datalogger-v2,0,0,0,1,188,0,0,1355,0,0,Python,119,0,188.0,1,0.3,active
theotheo10/Ferramentas-Financeiras,https://github.com/theotheo10/Ferramentas-Financeiras,0,0,0,2,370,0,1,0,0,0,Python,60,0,185.0,0,0.2,active
josoyjjk-ui/fireant-dashboard,https://github.com/josoyjjk-ui/fireant-dashboard,0,0,0,2,17775,0,1,0,0,0,Python,98,0,8887.5,0,0.3,active
novtom/rss,https://github.com/novtom/rss,0,0,0,1,1549,0,1,0,0,0,Python,308,0,1549.0,0,0.8,active
Squeack/Rover,https://github.com/Squeack/Rover,0,0,0,1,15,0,0,100,0,1,Python,35,0,15.0,1,0.1,active
gmirash-debug/solana-radar,https://github.com/gmirash-debug/solana-radar,0,0,0,2,495,0,1,6841,0,0,Python,17,0,247.5,1,0.0,active
gjjlovewhy-ipoh/91kds,https://github.com/gjjlovewhy-ipoh/91kds,0,0,0,1,109,0,1,12,0,0,Python,14,0,109.0,1,0.0,active
chilewen/hupu-monitor,https://github.com/chilewen/hupu-monitor,0,0,0,2,34693,0,1,0,0,0,Python,84,0,17346.5,0,0.2,active
shlapolosa/wear-125959-api,https://github.com/shlapolosa/wear-125959-api,0,0,0,1,28,0,1,75,4,1,Python,0,0,28.0,1,0.0,active
q1azq1a/Rss-1314,https://github.com/q1azq1a/Rss-1314,1,0,0,3,10291,0,1,1523,0,1,Python,597,0,3430.3,1,1.6,active
25175/tvyuan,https://github.com/25175/tvyuan,0,0,0,0,17,0,1,712,0,0,Python,0,0,17.0,1,0.0,active
vorterixgames-gif/compucity,https://github.com/vorterixgames-gif/compucity,0,0,0,0,84,0,0,0,0,0,Python,7,0,84.0,0,0.0,active
ReyhZhao/Vels.online,https://github.com/ReyhZhao/Vels.online,0,0,5,3,445,108,1,11127,0,0,Python,467,0,148.3,1,1.3,active
xian-technology/xian-abci,https://github.com/xian-technology/xian-abci,0,0,0,18,1309,10,1,5441,6,1,Python,147,0,72.7,1,0.4,active
nachorodriguezpirotta-tech/asistente-revolv,https://github.com/nachorodriguezpirotta-tech/asistente-revolv,0,0,0,1,3628,0,1,2391,0,0,Python,23,0,3628.0,1,0.1,active
dmitriistruganov-alt/runpod-gpu-watcher-v2,https://github.com/dmitriistruganov-alt/runpod-gpu-watcher-v2,0,0,0,1,4056,0,1,351,0,0,Python,7,0,4056.0,1,0.0,active
Tony133/fastify-api-boilerplate-jwt,https://github.com/Tony133/fastify-api-boilerplate-jwt,589,83,2,5,1180,0,1,1100,16,1,TypeScript,2446,0,236.0,1,6.7,active
pulumi/pulumi-provider-boilerplate,https://github.com/pulumi/pulumi-provider-boilerplate,83,23,12,31,597,161,1,4922,0,1,Go,2271,0,19.3,1,6.2,active
gofiber/boilerplate,https://github.com/gofiber/boilerplate,502,85,1,20,331,9,1,1528,2,1,Go,2246,0,16.6,1,6.2,active
DevUnltd/js-library-boilerplate,https://github.com/DevUnltd/js-library-boilerplate,230,28,2,7,7224,0,1,3967,9,1,JavaScript,2758,0,1032.0,1,7.6,active
marcoturi/react-redux-boilerplate,https://github.com/marcoturi/react-redux-boilerplate,102,15,9,3,1803,381,1,13782,12,1,TypeScript,864,0,601.0,1,2.4,active
Nhatnguyen150100/spring-boot-boilerplate,https://github.com/Nhatnguyen150100/spring-boot-boilerplate,25,5,0,2,51,0,0,15348,0,0,Java,364,0,25.5,1,1.0,active
benavlabs/FastAPI-boilerplate,https://github.com/benavlabs/FastAPI-boilerplate,1925,291,3,28,492,29,1,7804,15,1,Python,980,0,17.6,1,2.7,active
hngprojects/hng_boilerplate_nextjs,https://github.com/hngprojects/hng_boilerplate_nextjs,203,266,318,124,3169,0,1,0,0,0,Shell,728,0,25.6,0,2.0,active
marcoturi/fastify-boilerplate,https://github.com/marcoturi/fastify-boilerplate,447,50,10,3,1265,253,1,20825,18,1,TypeScript,718,0,421.7,1,2.0,active
pulumi/pulumi-tf-provider-boilerplate,https://github.com/pulumi/pulumi-tf-provider-boilerplate,90,46,10,41,369,0,1,1859,0,1,Makefile,2729,0,9.0,1,7.5,active
brocoders/nestjs-boilerplate,https://github.com/brocoders/nestjs-boilerplate,4317,934,39,23,2121,0,1,5730,19,1,TypeScript,2104,0,92.2,1,5.8,active
Mill3/mill3-wp-theme-boilerplate,https://github.com/Mill3/mill3-wp-theme-boilerplate,28,5,3,3,970,0,0,4163,0,1,JavaScript,1960,0,323.3,1,5.4,active
brocoders/extensive-react-boilerplate,https://github.com/brocoders/extensive-react-boilerplate,506,138,15,9,638,0,1,4403,16,1,TypeScript,1059,1,70.9,1,2.9,active
openshift/boilerplate,https://github.com/openshift/boilerplate,23,100,5,78,1456,10,0,19841,1,1,Shell,2102,1,18.7,1,5.8,active
jorge07/symfony-7-es-cqrs-boilerplate,https://github.com/jorge07/symfony-7-es-cqrs-boilerplate,1089,186,3,18,383,0,1,6238,9,1,PHP,3068,1,21.3,1,8.4,active
DevUnltd/ts-library-boilerplate-basic,https://github.com/DevUnltd/ts-library-boilerplate-basic,98,17,0,5,2793,0,1,2963,0,1,JavaScript,1909,1,558.6,1,5.2,active
DevUnltd/js-library-boilerplate-basic,https://github.com/DevUnltd/js-library-boilerplate-basic,411,34,1,6,3985,0,1,3478,9,1,HTML,2541,1,664.2,1,7.0,active
infinum/eightshift-boilerplate-plugin,https://github.com/infinum/eightshift-boilerplate-plugin,39,6,0,4,80,15,0,2269,4,1,PHP,3032,1,20.0,1,8.3,active
infinum/eightshift-boilerplate,https://github.com/infinum/eightshift-boilerplate,547,68,0,9,720,32,0,2239,3,1,PHP,3320,1,80.0,1,9.1,active
neo4j-devtools/nvl-boilerplates,https://github.com/neo4j-devtools/nvl-boilerplates,26,2,1,1,53,0,0,640,4,0,JavaScript,624,0,53.0,1,1.7,active
shinpr/ai-coding-project-boilerplate,https://github.com/shinpr/ai-coding-project-boilerplate,209,21,0,2,516,108,1,16904,12,1,JavaScript,306,1,258.0,1,0.8,active
gruntwork-io/boilerplate,https://github.com/gruntwork-io/boilerplate,338,30,43,25,390,100,1,1083,3,0,Go,3640,1,15.6,1,10.0,active
WeAreAthlon/frontend-webpack-boilerplate,https://github.com/WeAreAthlon/frontend-webpack-boilerplate,733,199,3,7,772,69,1,11732,18,1,HTML,3252,2,110.3,1,8.9,active
Devtography/electron-react-typescript-webpack-boilerplate,https://github.com/Devtography/electron-react-typescript-webpack-boilerplate,236,41,12,2,258,9,1,14198,15,1,JavaScript,2769,2,129.0,1,7.6,active
casey/boilerplate,https://github.com/casey/boilerplate,77,7,0,2,61,0,1,2860,2,1,Rust,1388,2,30.5,1,3.8,active
KhaledSaeed18/node-express-boilerplate,https://github.com/KhaledSaeed18/node-express-boilerplate,28,5,0,2,125,0,1,35322,19,1,TypeScript,511,2,62.5,1,1.4,active
MarkNjunge/nest-boilerplate,https://github.com/MarkNjunge/nest-boilerplate,43,11,0,3,396,0,1,23696,16,1,TypeScript,2576,3,132.0,1,7.1,active
sebastienheyd/boilerplate,https://github.com/sebastienheyd/boilerplate,291,68,2,8,842,217,1,6183,11,1,PHP,3348,3,105.2,1,9.2,active
vahiiiid/go-rest-api-boilerplate,https://github.com/vahiiiid/go-rest-api-boilerplate,54,19,9,14,76,4,1,19033,20,1,Go,237,3,5.4,1,0.6,active
adobe/aem-boilerplate,https://github.com/adobe/aem-boilerplate,187,665,9,36,869,0,1,1145,5,1,JavaScript,1995,2,24.1,1,5.5,active
MaaXYZ/MaaPracticeBoilerplate,https://github.com/MaaXYZ/MaaPracticeBoilerplate,392,123,3,10,150,0,1,1175,0,1,Python,807,4,15.0,1,2.2,active
milis92/nestjs-boilerplate,https://github.com/milis92/nestjs-boilerplate,21,0,10,1,27,0,1,29313,0,0,TypeScript,150,4,27.0,1,0.4,active
LedgerHQ/app-boilerplate,https://github.com/LedgerHQ/app-boilerplate,68,81,11,25,552,1,1,10191,0,1,C,2046,1,22.1,1,5.6,active
effect-app/boilerplate,https://github.com/effect-app/boilerplate,79,11,10,5,912,0,1,1410,0,0,TypeScript,1301,5,182.4,1,3.6,active
wgd3/nx-nestjs-angular-boilerplate,https://github.com/wgd3/nx-nestjs-angular-boilerplate,40,11,50,2,752,0,1,9658,7,1,TypeScript,1026,0,376.0,1,2.8,active
pinceladasdaweb/nodejs-boilerplate,https://github.com/pinceladasdaweb/nodejs-boilerplate,32,5,1,4,147,14,0,3242,0,1,Handlebars,4420,5,36.8,1,12.1,active
alan345/AI-Fullstack-SaaS-Boilerplate,https://github.com/alan345/AI-Fullstack-SaaS-Boilerplate,1400,216,1,5,1138,9,0,11376,14,1,TypeScript,3012,0,227.6,1,8.3,active
