full_name,url,stars,forks,open_issues,contributors,commits,releases,has_ci,readme_length,n_topics,has_license,language,age_days,days_since_push
anthropics/financial-services,https://github.com/anthropics/financial-services,28655,4024,151,10,60,0,1,16294,0,1,Python,94,0
numpy/numpy,https://github.com/numpy/numpy,32109,12399,2385,437,41246,143,1,4226,2,1,Python,5736,0
github/spec-kit,https://github.com/github/spec-kit,106994,9468,431,202,1034,153,1,31752,7,1,Python,280,0
openai/skills,https://github.com/openai/skills,20820,1392,255,34,111,0,0,1478,0,0,Python,185,0
Skyvern-AI/skyvern,https://github.com/Skyvern-AI/skyvern,21774,2026,164,85,4988,140,1,24848,16,1,Python,821,0
kovidgoyal/calibre,https://github.com/kovidgoyal/calibre,24937,2609,7,371,53537,348,1,1938,10,1,Python,4749,0
safishamsi/graphify,https://github.com/safishamsi/graphify,56055,5890,277,59,584,120,1,31398,11,1,Python,56,0
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,66202,27041,2036,408,33698,49,1,7520,5,1,Python,5764,0
bytedance/deer-flow,https://github.com/bytedance/deer-flow,69954,9449,927,256,2185,0,1,40120,18,1,Python,387,0
python/cpython,https://github.com/python/cpython,72899,34684,9326,352,131576,0,1,8906,0,1,Python,3394,0
django/django,https://github.com/django/django,87584,33955,445,393,34639,0,1,2017,9,1,Python,5144,0
openai/openai-python,https://github.com/openai/openai-python,30840,4813,556,149,1379,382,1,29480,2,1,Python,2041,0
docling-project/docling,https://github.com/docling-project/docling,60594,4221,912,225,1061,175,1,8048,15,1,Python,689,0
run-llama/llama_index,https://github.com/run-llama/llama_index,49759,7478,395,474,7819,431,1,13325,10,1,Python,1304,0
huggingface/peft,https://github.com/huggingface/peft,21203,2311,49,294,1711,32,1,12208,10,1,Python,1281,0
huggingface/lerobot,https://github.com/huggingface/lerobot,24491,4671,742,213,1473,9,1,10011,0,1,Python,854,0
serengil/deepface,https://github.com/serengil/deepface,22841,3103,10,87,2123,20,1,25279,17,1,Python,2301,0
tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,32865,4147,161,451,13457,15,1,9376,0,1,Python,2049,0
Dao-AILab/flash-attention,https://github.com/Dao-AILab/flash-attention,23980,2778,1189,180,1497,105,1,24455,0,1,Python,1470,0
mvanhorn/last30days-skill,https://github.com/mvanhorn/last30days-skill,26779,2290,77,42,618,14,1,24484,20,1,Python,125,0
infiniflow/ragflow,https://github.com/infiniflow/ragflow,81518,9353,3168,463,6462,47,1,16756,10,1,Python,899,0
tensorflow/models,https://github.com/tensorflow/models,77662,45062,1289,359,9740,51,1,4923,0,1,Python,3766,0
python-telegram-bot/python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,29186,6061,32,191,3172,132,1,14189,5,1,Python,3979,0
NanmiCoder/MediaCrawler,https://github.com/NanmiCoder/MediaCrawler,50411,10625,163,67,770,0,1,9254,0,1,Python,1085,0
netbox-community/netbox,https://github.com/netbox-community/netbox,20719,3026,228,350,15311,361,1,8870,11,1,Python,3742,0
dgtlmoon/changedetection.io,https://github.com/dgtlmoon/changedetection.io,31762,1812,345,133,2375,215,1,22034,20,1,Python,1948,0
AstrBotDevs/AstrBot,https://github.com/AstrBotDevs/AstrBot,33399,2293,1187,278,4722,220,1,14453,16,1,Python,1268,0
goauthentik/authentik,https://github.com/goauthentik/authentik,21706,1617,1138,457,22253,341,1,4059,17,1,Python,2342,0
mem0ai/mem0,https://github.com/mem0ai/mem0,57075,6504,391,310,2219,326,1,11464,14,1,Python,1074,0
saleor/saleor,https://github.com/saleor/saleor,22932,6035,249,259,22475,1499,1,9504,18,1,Python,4854,0
searxng/searxng,https://github.com/searxng/searxng,30841,2924,220,267,9437,0,1,2296,15,1,Python,1873,0
emmabostian/developer-portfolios,https://github.com/emmabostian/developer-portfolios,23054,4576,4,458,5961,0,1,114093,0,0,Python,2450,0
NVIDIA/TransformerEngine,https://github.com/NVIDIA/TransformerEngine,3362,733,368,170,1854,32,1,25757,9,1,Python,1347,0
alistaitsacle/free-llm-api-keys,https://github.com/alistaitsacle/free-llm-api-keys,1178,121,1,2,5396,0,0,120973,20,1,Python,67,0
marin-community/marin,https://github.com/marin-community/marin,1019,119,569,82,8830,15,1,4885,0,1,Python,798,0
youtubediscord/zapret,https://github.com/youtubediscord/zapret,1122,83,178,5,1093,2630,1,3747,10,0,Python,456,0
karanhudia/borg-ui,https://github.com/karanhudia/borg-ui,1483,50,24,12,2106,157,1,8803,12,1,Python,291,0
wiltodelta/remove-ai-watermarks,https://github.com/wiltodelta/remove-ai-watermarks,2683,224,5,4,112,20,1,29482,18,1,Python,65,0
Q00/ouroboros,https://github.com/Q00/ouroboros,4337,428,26,47,1486,87,1,25610,3,1,Python,135,0
caronc/apprise-api,https://github.com/caronc/apprise-api,1217,94,10,23,242,35,1,56729,10,1,Python,2406,0
pikepdf/pikepdf,https://github.com/pikepdf/pikepdf,2728,223,43,58,3340,48,1,8937,8,1,Python,3178,0
NVIDIA/physicsnemo,https://github.com/NVIDIA/physicsnemo,2848,677,55,87,985,18,1,27262,6,1,Python,1218,0
zatosource/zato,https://github.com/zatosource/zato,1009,252,0,25,18363,0,1,1807,20,1,Python,5440,0
gadievron/raptor,https://github.com/gadievron/raptor,2784,438,18,23,2095,1,1,16695,0,1,Python,224,0
microsoft/agent-governance-toolkit,https://github.com/microsoft/agent-governance-toolkit,3317,486,28,97,1763,17,1,23817,12,1,Python,87,0
repowise-dev/repowise,https://github.com/repowise-dev/repowise,2083,277,25,22,269,27,1,43652,15,1,Python,67,0
Checkmk/checkmk,https://github.com/Checkmk/checkmk,2273,536,38,276,103214,0,1,5127,1,1,Python,2655,0
blade-build/blade-build,https://github.com/blade-build/blade-build,2098,491,138,35,1417,9,1,9660,10,1,Python,5028,0
RyanCodrai/turbovec,https://github.com/RyanCodrai/turbovec,3469,311,4,3,141,0,1,13513,15,1,Python,64,0
camelot-dev/camelot,https://github.com/camelot-dev/camelot,3727,539,56,70,1473,10,1,10954,0,1,Python,2524,0
FuzzyGrim/Yamtrack,https://github.com/FuzzyGrim/Yamtrack,2768,191,273,39,2668,80,1,7819,8,1,Python,1266,0
GradientHQ/parallax,https://github.com/GradientHQ/parallax,1301,138,31,26,437,4,1,8914,17,1,Python,249,0
pypa/cibuildwheel,https://github.com/pypa/cibuildwheel,2237,315,87,162,3618,99,1,29778,11,1,Python,3357,0
RimSort/RimSort,https://github.com/RimSort/RimSort,1096,122,148,50,2385,94,1,2176,4,1,Python,1207,0
microsoft/PyRIT,https://github.com/microsoft/PyRIT,3901,771,93,123,1318,20,1,1245,4,1,Python,899,0
Pyomo/pyomo,https://github.com/Pyomo/pyomo,2464,579,355,145,31127,24,1,5594,6,1,Python,3653,0
microsoft/debugpy,https://github.com/microsoft/debugpy,2415,196,219,77,2111,52,1,5496,0,1,Python,2325,0
ycdxsb/PocOrExp_in_Github,https://github.com/ycdxsb/PocOrExp_in_Github,1161,233,0,1,23520,0,0,7258,4,1,Python,1872,0
mujocolab/mjlab,https://github.com/mujocolab/mjlab,2404,398,32,45,1030,7,1,5199,5,1,Python,353,0
jgravelle/jcodemunch-mcp,https://github.com/jgravelle/jcodemunch-mcp,1870,292,1,38,957,356,1,49330,6,1,Python,109,0
K-Dense-AI/karpathy,https://github.com/K-Dense-AI/karpathy,1447,165,3,3,27,0,0,5681,3,1,Python,193,0
mgonzs13/yolo_ros,https://github.com/mgonzs13/yolo_ros,1051,252,1,13,180,32,1,14569,19,1,Python,1193,0
TonyJiangWJ/mimotion,https://github.com/TonyJiangWJ/mimotion,1104,1936,3,2,2227,0,1,9963,0,1,Python,1094,0
nix-community/NUR,https://github.com/nix-community/NUR,1857,498,48,442,43426,0,1,16720,4,1,Python,3011,0
learningequality/kolibri,https://github.com/learningequality/kolibri,1062,942,490,202,35623,153,1,2295,6,1,Python,3782,0
NVIDIA-NeMo/DataDesigner,https://github.com/NVIDIA-NeMo/DataDesigner,1929,177,49,23,471,31,1,9124,11,1,Python,225,0
newton-physics/newton,https://github.com/newton-physics/newton,4990,548,254,69,1941,3,1,40015,4,1,Python,402,0
DataDog/integrations-core,https://github.com/DataDog/integrations-core,1119,1537,356,383,20380,51,1,2865,4,1,Python,3832,0
pycurl/pycurl,https://github.com/pycurl/pycurl,1153,325,5,101,3617,0,1,8184,4,1,Python,4681,0
vllm-project/vllm-omni,https://github.com/vllm-project/vllm-omni,4836,1016,859,224,1786,14,1,6586,9,1,Python,260,0
siddsachar/Thoth,https://github.com/siddsachar/Thoth,1194,140,28,4,262,25,1,22468,8,1,Python,83,0
IAHispano/Applio,https://github.com/IAHispano/Applio,3313,531,28,144,3905,10,1,5057,14,1,Python,1025,0
huggingface/huggingface_hub,https://github.com/huggingface/huggingface_hub,3639,1042,194,324,2465,174,1,7287,8,1,Python,1984,0
NopeCHALLC/nopecha-scripts,https://github.com/NopeCHALLC/nopecha-scripts,1387,8,0,3,4,0,0,1204,12,1,Python,1163,0
pantsbuild/pants,https://github.com/pantsbuild/pants,3776,703,1091,368,15258,668,1,1057,20,1,Python,4911,0
vllm-project/guidellm,https://github.com/vllm-project/guidellm,1186,160,89,48,1085,12,1,21209,0,1,Python,729,0
Zitann/HarmonyOS-Haps,https://github.com/Zitann/HarmonyOS-Haps,2442,86,4,7,427,0,1,12279,2,0,Python,560,0
NVIDIA/Model-Optimizer,https://github.com/NVIDIA/Model-Optimizer,2786,413,227,73,833,36,1,16354,0,1,Python,765,0
Blaizzy/mlx-vlm,https://github.com/Blaizzy/mlx-vlm,4787,547,145,103,650,63,1,44651,13,1,Python,773,0
basicmachines-co/basic-memory,https://github.com/basicmachines-co/basic-memory,3110,206,74,20,1352,83,1,19262,15,1,Python,542,0
Nerogar/OneTrainer,https://github.com/Nerogar/OneTrainer,3009,297,135,56,1514,0,0,8556,4,1,Python,1143,0
ROCm/TheRock,https://github.com/ROCm/TheRock,1047,245,918,185,2669,4,1,22752,0,1,Python,819,0
testcontainers/testcontainers-python,https://github.com/testcontainers/testcontainers-python,2223,373,172,171,1050,49,1,3738,6,1,Python,3355,0
PyCQA/flake8-bugbear,https://github.com/PyCQA/flake8-bugbear,1116,116,64,87,446,55,1,34379,4,1,Python,3726,0
NopeCHALLC/nopecha-python,https://github.com/NopeCHALLC/nopecha-python,1646,13,2,4,23,0,0,5277,13,1,Python,1163,0
bytedance/Lance,https://github.com/bytedance/Lance,1037,72,12,5,93,0,0,35129,6,1,Python,14,0
GAM-team/GAM,https://github.com/GAM-team/GAM,4186,525,39,36,5710,419,1,1573,13,1,Python,4386,0
langflow-ai/openrag,https://github.com/langflow-ai/openrag,4092,405,245,40,3821,57,1,6176,0,1,Python,322,0
intuitem/ciso-assistant-community,https://github.com/intuitem/ciso-assistant-community,4087,728,112,101,7378,266,1,37703,20,1,Python,982,0
openai/plugins,https://github.com/openai/plugins,1289,192,32,45,224,0,0,1074,0,0,Python,85,0
AvenCores/goida-vpn-configs,https://github.com/AvenCores/goida-vpn-configs,2394,122,0,4,265910,0,1,36475,20,1,Python,539,0
pytorch/rl,https://github.com/pytorch/rl,3449,456,292,202,2526,31,1,44066,13,1,Python,1578,0
Josh-XT/AGiXT,https://github.com/Josh-XT/AGiXT,3192,445,0,41,5848,433,1,3817,14,1,Python,1137,0
kapicorp/kapitan,https://github.com/kapicorp/kapitan,1913,210,119,75,2214,128,1,6579,20,1,Python,3154,0
Nixtla/neuralforecast,https://github.com/Nixtla/neuralforecast,4135,491,38,53,1358,36,1,12826,20,1,Python,1859,0
1bananachicken/MaaNTE,https://github.com/1bananachicken/MaaNTE,1647,141,30,17,336,11,1,5084,5,1,Python,33,0
SilentDemonSD/WZML-X,https://github.com/SilentDemonSD/WZML-X,1441,2167,23,17,374,4,1,8812,20,1,Python,1351,0
saturday06/VRM-Addon-for-Blender,https://github.com/saturday06/VRM-Addon-for-Blender,1645,159,98,20,6389,298,1,16439,2,1,Python,2699,0
microsoft/azure-skills,https://github.com/microsoft/azure-skills,1114,172,1,16,199,12,1,13976,1,1,Python,92,0
openaddresses/openaddresses,https://github.com/openaddresses/openaddresses,3178,876,427,190,14023,0,0,5018,4,1,Python,4494,0
NVIDIA/NeMo-Retriever,https://github.com/NVIDIA/NeMo-Retriever,2931,322,187,49,1424,10,1,14021,0,1,Python,645,0
chonkie-inc/chonkie,https://github.com/chonkie-inc/chonkie,4111,275,32,37,2118,43,1,18924,11,1,Python,426,0
Universal-Commerce-Protocol/ucp,https://github.com/Universal-Commerce-Protocol/ucp,3057,395,117,38,176,3,1,5690,0,1,Python,149,0
NVIDIA-NeMo/RL,https://github.com/NVIDIA-NeMo/RL,1664,400,659,112,965,9,1,35618,0,1,Python,439,0
UKGovernmentBEIS/inspect_ai,https://github.com/UKGovernmentBEIS/inspect_ai,2140,533,163,228,5823,0,1,3094,0,1,Python,927,0
dograh-hq/dograh,https://github.com/dograh-hq/dograh,3675,767,22,22,515,40,1,8201,20,1,Python,262,0
harbor-framework/harbor,https://github.com/harbor-framework/harbor,2192,1084,358,201,991,14,1,2564,3,1,Python,297,0
CharlesPikachu/videodl,https://github.com/CharlesPikachu/videodl,2148,391,8,1,766,2,1,70235,20,1,Python,2880,0
maziggy/bambuddy,https://github.com/maziggy/bambuddy,1717,206,86,40,2736,59,1,40911,12,1,Python,182,0
CharlesPikachu/musicdl,https://github.com/CharlesPikachu/musicdl,4895,623,7,1,972,1,1,56446,20,1,Python,2893,0
greyhaven-ai/autocontext,https://github.com/greyhaven-ai/autocontext,1162,96,1,2,1648,0,1,20623,13,1,Python,106,0
aws-cloudformation/cfn-lint,https://github.com/aws-cloudformation/cfn-lint,2619,634,66,175,3346,460,1,22634,5,1,Python,2970,0
eclipse-sumo/sumo,https://github.com/eclipse-sumo/sumo,4013,1732,2965,121,51761,0,1,5402,3,1,Python,3135,0
hgmzhn/manga-translator-ui,https://github.com/hgmzhn/manga-translator-ui,1730,85,4,5,925,69,1,11822,10,1,Python,271,0
ArcReel/ArcReel,https://github.com/ArcReel/ArcReel,2395,521,37,9,509,41,1,12318,16,1,Python,111,0
radixark/miles,https://github.com/radixark/miles,1452,230,350,94,1211,0,1,9464,0,1,Python,232,0
Skillter/ProxyGather,https://github.com/Skillter/ProxyGather,111,10,3,3,6136,0,1,10866,11,0,Python,350,0
TheRealWaldo/thermal,https://github.com/TheRealWaldo/thermal,76,7,1,6,296,22,1,9318,7,1,Python,1801,0
NevermindNilas/TheAnimeScripter,https://github.com/NevermindNilas/TheAnimeScripter,285,11,2,5,2678,105,1,16176,14,1,Python,926,0
xsrazy/Download-All-Tiktok-Videos,https://github.com/xsrazy/Download-All-Tiktok-Videos,57,10,4,1,18884,0,0,3508,0,0,Python,1184,0
Patrowl/PatrowlHearsData,https://github.com/Patrowl/PatrowlHearsData,146,39,6,2,57808,0,0,2684,7,1,Python,1991,0
InterDigitalInc/CompressAI-Vision,https://github.com/InterDigitalInc/CompressAI-Vision,126,12,0,12,1180,0,1,6632,6,1,Python,1352,0
databrickslabs/sandbox,https://github.com/databrickslabs/sandbox,73,58,55,24,395,24,1,1232,3,1,Python,933,0
chython/chython,https://github.com/chython/chython,52,16,15,6,358,29,1,1575,0,1,Python,1756,0
gpt-cmdr/ras-commander,https://github.com/gpt-cmdr/ras-commander,62,19,4,3,960,0,1,37807,0,1,Python,630,0
miaojiuqing/Maa_bbb,https://github.com/miaojiuqing/Maa_bbb,134,9,15,10,1340,125,1,7772,0,1,Python,239,0
alphavantage/alpha_vantage_mcp,https://github.com/alphavantage/alpha_vantage_mcp,159,39,1,4,220,0,1,37827,0,1,Python,305,0
indmdev/Free-Telegram-Store-Bot,https://github.com/indmdev/Free-Telegram-Store-Bot,114,58,11,1,726702,0,0,1928,17,1,Python,775,0
mnaberez/py65,https://github.com/mnaberez/py65,260,73,10,9,611,0,1,2888,2,1,Python,6319,0
gongyu0918-debug/rogue-go-arena,https://github.com/gongyu0918-debug/rogue-go-arena,60,0,0,2,150,11,0,11592,6,1,Python,61,0
yuexuan521/honeypot-blocklist,https://github.com/yuexuan521/honeypot-blocklist,212,4,1,1,1797,1,1,9087,0,1,Python,157,0
Checkora/Checkora,https://github.com/Checkora/Checkora,120,418,409,97,974,0,1,43187,0,1,Python,115,0
sartography/spiff-arena,https://github.com/sartography/spiff-arena,135,72,249,38,4985,28,1,7315,11,1,Python,1325,0
CharlesPikachu/paperdl,https://github.com/CharlesPikachu/paperdl,55,9,0,1,57,0,1,11848,10,1,Python,1557,0
ishaanbuildsthings/leetcode,https://github.com/ishaanbuildsthings/leetcode,295,37,0,1,2668,0,0,232,0,0,Python,1127,0
dancinlab/hexa-lang,https://github.com/dancinlab/hexa-lang,224,80,3,2,8243,4,1,34879,11,1,Python,58,0
maxim-saplin/llm_chess,https://github.com/maxim-saplin/llm_chess,102,10,1,6,1376,0,0,9047,0,1,Python,608,0
LobsterTrap/lola,https://github.com/LobsterTrap/lola,91,21,54,16,286,5,1,13350,0,1,Python,224,0
daedalus/ImpactGuard,https://github.com/daedalus/ImpactGuard,116,0,0,2,276,11,1,44535,17,1,Python,27,0
broadinstitute/viral-ngs,https://github.com/broadinstitute/viral-ngs,196,67,2,16,9683,106,1,5922,15,1,Python,4263,0
larsiusprime/openavmkit,https://github.com/larsiusprime/openavmkit,72,20,34,8,752,14,1,3607,0,1,Python,539,0
The412Banner/Banners-Turnip,https://github.com/The412Banner/Banners-Turnip,96,7,0,5,1349,227,1,12304,0,1,Python,97,0
datadog-labs/agent-skills,https://github.com/datadog-labs/agent-skills,125,11,4,14,68,0,0,13892,0,1,Python,115,0
UiPath/skills,https://github.com/UiPath/skills,94,27,182,83,863,0,1,8264,0,1,Python,127,0
tenstorrent/tt-inference-server,https://github.com/tenstorrent/tt-inference-server,55,23,657,64,1912,21,1,2966,0,1,Python,674,0
OrnitheMC/feather,https://github.com/OrnitheMC/feather,64,33,7,131,4029,0,1,5661,1,1,Python,1641,0
ansys/pydpf-post,https://github.com/ansys/pydpf-post,57,12,51,27,623,21,1,3995,0,1,Python,2017,0
Runware/ComfyUI-Runware,https://github.com/Runware/ComfyUI-Runware,139,20,3,2,461,66,0,7427,0,1,Python,562,0
amirmushichge/tribeV2_ViralAnalyser,https://github.com/amirmushichge/tribeV2_ViralAnalyser,178,43,4,1,28,4,1,8647,0,0,Python,28,0
tom-doerr/repo_posts,https://github.com/tom-doerr/repo_posts,275,29,2,1,45344,0,1,4063,0,1,Python,466,0
REIJI007/Adblock-Rule-Collection,https://github.com/REIJI007/Adblock-Rule-Collection,103,8,0,2,426,1,1,4082,16,1,Python,661,0
gambiarras/legal-iptv,https://github.com/gambiarras/legal-iptv,76,5,0,2,17634,0,0,0,0,0,Python,1254,0
